Seaquest
Episode Number,Episode Steps,Reward,Score,Epsilon
2370,1400,24.0,480.0,0.05
2371,1772,31.0,620.0,0.05
2372,896,14.0,280.0,0.05
2373,1392,22.0,440.0,0.05
2374,1817,33.0,660.0,0.05
2375,1552,26.0,520.0,0.05
2376,2008,35.0,700.0,0.05
2377,2064,36.0,720.0,0.05
2378,1112,19.0,380.0,0.05
2379,1800,34.0,700.0,0.05
2380,2069,36.0,720.0,0.05
2381,1402,27.0,540.0,0.05
2382,2122,42.0,840.0,0.05
2383,1591,29.0,580.0,0.05
2384,1712,28.0,560.0,0.05
2385,1872,36.0,720.0,0.05
2386,1405,27.0,540.0,0.05
2387,1731,32.0,640.0,0.05
2388,1343,26.0,540.0,0.05
2389,2153,41.0,820.0,0.05
2390,1016,15.0,300.0,0.05
2391,1206,20.0,400.0,0.05
2392,2174,41.0,820.0,0.05
2393,1848,34.0,680.0,0.05
2394,1777,33.0,660.0,0.05
2395,1469,27.0,540.0,0.05
2396,1776,33.0,660.0,0.05
2397,1664,29.0,580.0,0.05
2398,1784,30.0,600.0,0.05
2399,1672,27.0,540.0,0.05
2400,1848,33.0,660.0,0.05
2401,1843,36.0,720.0,0.05
2402,1715,34.0,680.0,0.05
2403,1162,21.0,420.0,0.05
2404,1031,20.0,400.0,0.05
2405,2102,40.0,800.0,0.05
2406,2112,42.0,860.0,0.05
2407,1691,32.0,640.0,0.05
2408,1856,36.0,720.0,0.05
2409,1802,33.0,660.0,0.05
2410,1208,23.0,460.0,0.05
2411,1660,32.0,640.0,0.05
2412,1104,19.0,380.0,0.05
2413,1664,31.0,620.0,0.05
2414,1276,24.0,480.0,0.05
2415,1153,21.0,420.0,0.05
2416,1396,23.0,460.0,0.05
2417,1792,35.0,700.0,0.05
2418,1744,31.0,620.0,0.05
2419,1614,29.0,580.0,0.05
2420,1116,19.0,380.0,0.05
2421,1477,30.0,600.0,0.05
2422,1467,27.0,540.0,0.05
2423,1374,25.0,500.0,0.05
2424,1928,35.0,700.0,0.05
2425,1168,22.0,440.0,0.05
2426,973,14.0,280.0,0.05
2427,1163,23.0,460.0,0.05
2428,836,15.0,300.0,0.05
2429,1369,27.0,540.0,0.05
2430,999,18.0,360.0,0.05
2431,1087,21.0,420.0,0.05
2432,1290,23.0,460.0,0.05
2433,1057,19.0,380.0,0.05
2434,1492,26.0,520.0,0.05
2435,1342,21.0,420.0,0.05
2436,1596,32.0,640.0,0.05
2437,1498,30.0,600.0,0.05
2438,1439,31.0,620.0,0.05
2439,1536,32.0,640.0,0.05
2440,1628,27.0,540.0,0.05
2441,771,12.0,240.0,0.05
2442,1558,32.0,640.0,0.05
2443,839,16.0,320.0,0.05
2444,1541,31.0,620.0,0.05
2445,1218,28.0,560.0,0.05
2446,1674,33.0,660.0,0.05
2447,512,7.0,140.0,0.05
2448,1523,26.0,520.0,0.05
2449,703,11.0,220.0,0.05
2450,796,13.0,260.0,0.05
2451,958,18.0,360.0,0.05
2452,1023,20.0,400.0,0.05
2453,879,16.0,320.0,0.05
2454,1267,32.0,640.0,0.05
2455,1768,34.0,680.0,0.05
2456,1526,32.0,640.0,0.05
2457,1095,18.0,360.0,0.05
2458,1876,40.0,800.0,0.05
2459,1319,28.0,560.0,0.05
2460,1643,28.0,560.0,0.05
2461,916,16.0,320.0,0.05
2462,1018,19.0,380.0,0.05
2463,1100,22.0,440.0,0.05
2464,1374,33.0,660.0,0.05
2465,1178,22.0,440.0,0.05
2466,1337,29.0,580.0,0.05
2467,1008,19.0,380.0,0.05
2468,1784,44.0,880.0,0.05
2469,790,15.0,300.0,0.05
2470,1637,41.0,820.0,0.05
2471,1824,43.0,860.0,0.05
2472,1304,31.0,620.0,0.05
2473,841,19.0,380.0,0.05
2474,1211,21.0,420.0,0.05
2475,1243,28.0,560.0,0.05
2476,1209,28.0,560.0,0.05
2477,1183,27.0,540.0,0.05
2478,1396,26.0,520.0,0.05
2479,1721,34.0,680.0,0.05
2480,1324,32.0,640.0,0.05
2481,1200,22.0,440.0,0.05
2482,878,17.0,340.0,0.05
2483,1113,19.0,380.0,0.05
2484,917,18.0,360.0,0.05
2485,1493,28.0,560.0,0.05
2486,1259,24.0,480.0,0.05
2487,1016,21.0,420.0,0.05
2488,1591,33.0,660.0,0.05
2489,1213,21.0,420.0,0.05
2490,1484,33.0,660.0,0.05
2491,1505,30.0,600.0,0.05
2492,1389,27.0,540.0,0.05
2493,1442,30.0,600.0,0.05
2494,1288,25.0,500.0,0.05
2495,1552,34.0,680.0,0.05
2496,1540,32.0,640.0,0.05
2497,1216,25.0,500.0,0.05
2498,1018,20.0,400.0,0.05
2499,590,7.0,140.0,0.05
2500,822,16.0,320.0,0.05
2501,950,23.0,460.0,0.05
2502,888,16.0,320.0,0.05
